Division,Group,Field,Description
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300101,Agricultural biotechnology diagnostics (incl. biosensors)
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300102,Agricultural marine biotechnology
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300103,Agricultural molecular engineering of nucleic acids and proteins
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300104,Genetically modified animals
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300105,Genetically modified field crops and pasture
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300106,Genetically modified horticulture plants
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300107,Genetically modified trees
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300108,Livestock cloning
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300109,Non-genetically modified uses of biotechnology
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300110,Transgenesis
"Agricultural, Veterinary and Food Sciences",Agricultural biotechnology,300199,Agricultural biotechnology not elsewhere classified
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300201,Agricultural hydrology
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300202,Agricultural land management
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300203,Agricultural land planning
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300204,Agricultural management of nutrients
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300205,Agricultural production systems simulation
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300206,Agricultural spatial analysis and modelling
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300207,Agricultural systems analysis and modelling
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300208,"Farm management, rural management and agribusiness"
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300209,Germplasm management
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300210,Sustainable agricultural development
"Agricultural, Veterinary and Food Sciences","Agriculture, land and farm management",300299,"Agriculture, land and farm management not elsewhere classified"
"Agricultural, Veterinary and Food Sciences",Animal production,300301,Animal growth and development
"Agricultural, Veterinary and Food Sciences",Animal production,300302,Animal management
"Agricultural, Veterinary and Food Sciences",Animal production,300303,Animal nutrition
"Agricultural, Veterinary and Food Sciences",Animal production,300304,Animal protection (incl. pests and pathogens)
"Agricultural, Veterinary and Food Sciences",Animal production,300305,Animal reproduction and breeding
"Agricultural, Veterinary and Food Sciences",Animal production,300306,Animal welfare
"Agricultural, Veterinary and Food Sciences",Animal production,300307,Environmental studies in animal production
"Agricultural, Veterinary and Food Sciences",Animal production,300399,Animal production not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300401,Agrochemicals and biocides (incl. application)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300402,Agro-ecosystem function and prediction
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300403,Agronomy
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300404,Crop and pasture biochemistry and physiology
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300405,Crop and pasture biomass and bioproducts
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300406,Crop and pasture improvement (incl. selection and breeding)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300407,Crop and pasture nutrition
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300408,Crop and pasture post harvest technologies (incl. transportation and storage)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300409,"Crop and pasture protection (incl. pests, diseases and weeds)"
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300410,Crop and pasture waste water use
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300411,Fertilisers (incl. application)
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300412,Organic and low chemical input crop production
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300413,Pollination biology and systems
"Agricultural, Veterinary and Food Sciences",Crop and pasture production,300499,Crop and pasture production not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300501,Aquaculture
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300502,Aquaculture and fisheries stock assessment
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300503,Fish pests and diseases
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300504,Fish physiology and genetics
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300505,Fisheries management
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300506,Post-harvest fisheries technologies (incl. transportation)
"Agricultural, Veterinary and Food Sciences",Fisheries sciences,300599,Fisheries sciences not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Food sciences,300601,Beverage chemistry and beverage sensory science
"Agricultural, Veterinary and Food Sciences",Food sciences,300602,Food chemistry and food sensory science
"Agricultural, Veterinary and Food Sciences",Food sciences,300603,Food nutritional balance
"Agricultural, Veterinary and Food Sciences",Food sciences,300604,"Food packaging, preservation and processing"
"Agricultural, Veterinary and Food Sciences",Food sciences,300605,"Food safety, traceability, certification and authenticity"
"Agricultural, Veterinary and Food Sciences",Food sciences,300606,Food sustainability
"Agricultural, Veterinary and Food Sciences",Food sciences,300607,Food technology
"Agricultural, Veterinary and Food Sciences",Food sciences,300699,Food sciences not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300701,Agroforestry
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300702,Forest biodiversity
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300703,Forest ecosystems
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300704,Forest health and pathology
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300705,Forestry biomass and bioproducts
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300706,Forestry fire management
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300707,Forestry management and environment
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300708,Forestry product quality assessment
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300709,Tree improvement (incl. selection and breeding)
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300710,Tree nutrition and physiology
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300711,Wood fibre processing
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300712,Wood processing
"Agricultural, Veterinary and Food Sciences",Forestry sciences,300799,Forestry sciences not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Horticultural production,300801,Field organic and low chemical input horticulture
"Agricultural, Veterinary and Food Sciences",Horticultural production,300802,Horticultural crop growth and development
"Agricultural, Veterinary and Food Sciences",Horticultural production,300803,Horticultural crop improvement (incl. selection and breeding)
"Agricultural, Veterinary and Food Sciences",Horticultural production,300804,"Horticultural crop protection (incl. pests, diseases and weeds)"
"Agricultural, Veterinary and Food Sciences",Horticultural production,300805,Oenology and viticulture
"Agricultural, Veterinary and Food Sciences",Horticultural production,300806,Post harvest horticultural technologies (incl. transportation and storage)
"Agricultural, Veterinary and Food Sciences",Horticultural production,300899,Horticultural production not elsewhere classified
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300901,Veterinary anaesthesiology and intensive care
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300902,Veterinary anatomy and physiology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300903,Veterinary bacteriology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300904,Veterinary diagnosis and diagnostics
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300905,Veterinary epidemiology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300906,Veterinary immunology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300907,Veterinary medicine (excl. urology)
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300908,Veterinary mycology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300909,Veterinary parasitology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300910,Veterinary pathology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300911,Veterinary pharmacology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300912,Veterinary surgery
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300913,Veterinary urology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300914,Veterinary virology
"Agricultural, Veterinary and Food Sciences",Veterinary sciences,300999,Veterinary sciences not elsewhere classified
"Agricultural, Veterinary and Food Sciences","Other agricultural, veterinary and food sciences",309999,"Other agricultural, veterinary and food sciences not elsewhere classified"
Biological Sciences,Biochemistry and cell biology,310101,Analytical biochemistry
Biological Sciences,Biochemistry and cell biology,310102,"Cell development, proliferation and death"
Biological Sciences,Biochemistry and cell biology,310103,Cell metabolism
Biological Sciences,Biochemistry and cell biology,310104,Cell neurochemistry
Biological Sciences,Biochemistry and cell biology,310105,"Cellular interactions (incl. adhesion, matrix, cell wall)"
Biological Sciences,Biochemistry and cell biology,310106,Enzymes
Biological Sciences,Biochemistry and cell biology,310107,Glycobiology
Biological Sciences,Biochemistry and cell biology,310108,Protein trafficking
Biological Sciences,Biochemistry and cell biology,310109,Proteomics and intermolecular interactions (excl. medical proteomics)
Biological Sciences,Biochemistry and cell biology,310110,Receptors and membrane biology
Biological Sciences,Biochemistry and cell biology,310111,Signal transduction
Biological Sciences,Biochemistry and cell biology,310112,Structural biology (incl. macromolecular modelling)
Biological Sciences,Biochemistry and cell biology,310113,Synthetic biology
Biological Sciences,Biochemistry and cell biology,310114,Systems biology
Biological Sciences,Biochemistry and cell biology,310199,Biochemistry and cell biology not elsewhere classified
Biological Sciences,Bioinformatics and computational biology,310201,Bioinformatic methods development
Biological Sciences,Bioinformatics and computational biology,310202,Biological network analysis
Biological Sciences,Bioinformatics and computational biology,310203,Computational ecology and phylogenetics
Biological Sciences,Bioinformatics and computational biology,310204,Genomics and transcriptomics
Biological Sciences,Bioinformatics and computational biology,310205,Proteomics and metabolomics
Biological Sciences,Bioinformatics and computational biology,310206,Sequence analysis
Biological Sciences,Bioinformatics and computational biology,310207,Statistical and quantitative genetics
Biological Sciences,Bioinformatics and computational biology,310208,Translational and applied bioinformatics
Biological Sciences,Bioinformatics and computational biology,310299,Bioinformatics and computational biology not elsewhere classified
Biological Sciences,Ecology,310301,Behavioural ecology
Biological Sciences,Ecology,310302,Community ecology (excl. invasive species ecology)
Biological Sciences,Ecology,310303,Ecological physiology
Biological Sciences,Ecology,310304,Freshwater ecology
Biological Sciences,Ecology,310305,Marine and estuarine ecology (incl. marine ichthyology)
Biological Sciences,Ecology,310306,Palaeoecology
Biological Sciences,Ecology,310307,Population ecology
Biological Sciences,Ecology,310308,Terrestrial ecology
Biological Sciences,Ecology,310399,Ecology not elsewhere classified
Biological Sciences,Evolutionary biology,310401,Animal systematics and taxonomy
Biological Sciences,Evolutionary biology,310402,Biogeography and phylogeography
Biological Sciences,Evolutionary biology,310403,Biological adaptation
Biological Sciences,Evolutionary biology,310404,Evolution of developmental systems
Biological Sciences,Evolutionary biology,310405,Evolutionary ecology
Biological Sciences,Evolutionary biology,310406,Evolutionary impacts of climate change
Biological Sciences,Evolutionary biology,310407,Host-parasite interactions
Biological Sciences,Evolutionary biology,310408,Life histories
Biological Sciences,Evolutionary biology,310409,Microbial taxonomy
Biological Sciences,Evolutionary biology,310410,Phylogeny and comparative analysis
Biological Sciences,Evolutionary biology,310411,Plant and fungus systematics and taxonomy
Biological Sciences,Evolutionary biology,310412,Speciation and extinction
Biological Sciences,Evolutionary biology,310499,Evolutionary biology not elsewhere classified
Biological Sciences,Genetics,310501,Anthropological genetics
Biological Sciences,Genetics,310502,Cell and nuclear division
Biological Sciences,Genetics,310503,Developmental genetics (incl. sex determination)
Biological Sciences,Genetics,310504,Epigenetics (incl. genome methylation and epigenomics)
Biological Sciences,Genetics,310505,Gene expression (incl. microarray and other genome-wide approaches)
Biological Sciences,Genetics,310506,Gene mapping
Biological Sciences,Genetics,310507,Genetic immunology
Biological Sciences,Genetics,310508,Genome structure and regulation
Biological Sciences,Genetics,310509,Genomics
Biological Sciences,Genetics,310510,Molecular evolution
Biological Sciences,Genetics,310511,Neurogenetics
Biological Sciences,Genetics,310599,Genetics not elsewhere classified
Biological Sciences,Industrial biotechnology,310601,Biocatalysis and enzyme technology
Biological Sciences,Industrial biotechnology,310602,"Bioprocessing, bioproduction and bioproducts"
Biological Sciences,Industrial biotechnology,310603,Fermentation
Biological Sciences,Industrial biotechnology,310604,Industrial biotechnology diagnostics (incl. biosensors)
Biological Sciences,Industrial biotechnology,310605,Industrial microbiology (incl. biofeedstocks)
Biological Sciences,Industrial biotechnology,310606,Industrial molecular engineering of nucleic acids and proteins
Biological Sciences,Industrial biotechnology,310607,Nanobiotechnology
Biological Sciences,Industrial biotechnology,310699,Industrial biotechnology not elsewhere classified
Biological Sciences,Microbiology,310701,Bacteriology
Biological Sciences,Microbiology,310702,Infectious agents
Biological Sciences,Microbiology,310703,Microbial ecology
Biological Sciences,Microbiology,310704,Microbial genetics
Biological Sciences,Microbiology,310705,Mycology
Biological Sciences,Microbiology,310706,Virology
Biological Sciences,Microbiology,310799,Microbiology not elsewhere classified
Biological Sciences,Plant biology,310801,Phycology (incl. marine grasses)
Biological Sciences,Plant biology,310802,Plant biochemistry
Biological Sciences,Plant biology,310803,Plant cell and molecular biology
Biological Sciences,Plant biology,310804,Plant developmental and reproductive biology
Biological Sciences,Plant biology,310805,Plant pathology
Biological Sciences,Plant biology,310806,Plant physiology
Biological Sciences,Plant biology,310899,Plant biology not elsewhere classified
Biological Sciences,Zoology,310901,Animal behaviour
Biological Sciences,Zoology,310902,Animal cell and molecular biology
Biological Sciences,Zoology,310903,Animal developmental and reproductive biology
Biological Sciences,Zoology,310904,Animal diet and nutrition
Biological Sciences,Zoology,310905,Animal immunology
Biological Sciences,Zoology,310906,Animal neurobiology
Biological Sciences,Zoology,310907,Animal physiological ecology
Biological Sciences,Zoology,310908,Animal physiology - biophysics
Biological Sciences,Zoology,310909,Animal physiology - cell
Biological Sciences,Zoology,310910,Animal physiology - systems
Biological Sciences,Zoology,310911,Animal structure and function
Biological Sciences,Zoology,310912,Comparative physiology
Biological Sciences,Zoology,310913,Invertebrate biology
Biological Sciences,Zoology,310914,Vertebrate biology
Biological Sciences,Zoology,310999,Zoology not elsewhere classified
Biological Sciences,Other biological sciences,319901,Forensic biology
Biological Sciences,Other biological sciences,319902,Global change biology
Biological Sciences,Other biological sciences,319999,Other biological sciences not elsewhere classified
Biomedical and Clinical Sciences,Cardiovascular medicine and haematology,320101,Cardiology (incl. cardiovascular diseases)
Biomedical and Clinical Sciences,Cardiovascular medicine and haematology,320102,Haematology
Biomedical and Clinical Sciences,Cardiovascular medicine and haematology,320103,Respiratory diseases
Biomedical and Clinical Sciences,Cardiovascular medicine and haematology,320199,Cardiovascular medicine and haematology not elsewhere classified
Biomedical and Clinical Sciences,Clinical sciences,320201,Anaesthesiology
Biomedical and Clinical Sciences,Clinical sciences,320202,Clinical chemistry (incl. diagnostics)
Biomedical and Clinical Sciences,Clinical sciences,320203,Clinical microbiology
Biomedical and Clinical Sciences,Clinical sciences,320204,Clinimetrics
Biomedical and Clinical Sciences,Clinical sciences,320205,Dermatology
Biomedical and Clinical Sciences,Clinical sciences,320206,Diagnostic radiography
Biomedical and Clinical Sciences,Clinical sciences,320207,Emergency medicine
Biomedical and Clinical Sciences,Clinical sciences,320208,Endocrinology
Biomedical and Clinical Sciences,Clinical sciences,320209,Gastroenterology and hepatology
Biomedical and Clinical Sciences,Clinical sciences,320210,Geriatrics and gerontology
Biomedical and Clinical Sciences,Clinical sciences,320211,Infectious diseases
Biomedical and Clinical Sciences,Clinical sciences,320212,Intensive care
Biomedical and Clinical Sciences,Clinical sciences,320213,Medical genetics (excl. cancer genetics)
Biomedical and Clinical Sciences,Clinical sciences,320214,Nephrology and urology
Biomedical and Clinical Sciences,Clinical sciences,320215,Nuclear medicine
Biomedical and Clinical Sciences,Clinical sciences,320216,Orthopaedics
Biomedical and Clinical Sciences,Clinical sciences,320217,Otorhinolaryngology
Biomedical and Clinical Sciences,Clinical sciences,320218,Pain
Biomedical and Clinical Sciences,Clinical sciences,320219,Paramedicine
Biomedical and Clinical Sciences,Clinical sciences,320220,Pathology (excl. oral pathology)
Biomedical and Clinical Sciences,Clinical sciences,320221,Psychiatry (incl. psychotherapy)
Biomedical and Clinical Sciences,Clinical sciences,320222,Radiology and organ imaging
Biomedical and Clinical Sciences,Clinical sciences,320223,Rheumatology and arthritis
Biomedical and Clinical Sciences,Clinical sciences,320224,Rural clinical health
Biomedical and Clinical Sciences,Clinical sciences,320225,Sports medicine
Biomedical and Clinical Sciences,Clinical sciences,320226,Surgery
Biomedical and Clinical Sciences,Clinical sciences,320227,Venereology
Biomedical and Clinical Sciences,Clinical sciences,320299,Clinical sciences not elsewhere classified
Biomedical and Clinical Sciences,Dentistry,320301,Craniofacial biology
Biomedical and Clinical Sciences,Dentistry,320302,Dental materials and equipment
Biomedical and Clinical Sciences,Dentistry,320303,"Dental therapeutics, pharmacology and toxicology"
Biomedical and Clinical Sciences,Dentistry,320304,Endodontics
Biomedical and Clinical Sciences,Dentistry,320305,Oral and maxillofacial surgery
Biomedical and Clinical Sciences,Dentistry,320306,Oral implantology
Biomedical and Clinical Sciences,Dentistry,320307,Oral medicine and pathology
Biomedical and Clinical Sciences,Dentistry,320308,Orthodontics and dentofacial orthopaedics
Biomedical and Clinical Sciences,Dentistry,320309,Paedodontics
Biomedical and Clinical Sciences,Dentistry,320310,Periodontics
Biomedical and Clinical Sciences,Dentistry,320311,Prosthodontics
Biomedical and Clinical Sciences,Dentistry,320312,Special needs dentistry
Biomedical and Clinical Sciences,Dentistry,320399,Dentistry not elsewhere classified
Biomedical and Clinical Sciences,Immunology,320401,Allergy
Biomedical and Clinical Sciences,Immunology,320402,"Applied immunology (incl. antibody engineering, xenotransplantation and t-cell therapies)"
Biomedical and Clinical Sciences,Immunology,320403,Autoimmunity
Biomedical and Clinical Sciences,Immunology,320404,Cellular immunology
Biomedical and Clinical Sciences,Immunology,320405,Humoural immunology and immunochemistry
Biomedical and Clinical Sciences,Immunology,320406,Immunogenetics (incl. genetic immunology)
Biomedical and Clinical Sciences,Immunology,320407,Innate immunity
Biomedical and Clinical Sciences,Immunology,320408,Transplantation immunology
Biomedical and Clinical Sciences,Immunology,320409,Tumour immunology
Biomedical and Clinical Sciences,Immunology,320499,Immunology not elsewhere classified
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320501,Medical biochemistry - amino acids and metabolites
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320502,Medical biochemistry - carbohydrates
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320503,Medical biochemistry - inorganic elements and compounds
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320504,Medical biochemistry - lipids
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320505,Medical biochemistry - nucleic acids
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320506,Medical biochemistry - proteins and peptides (incl. medical proteomics)
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320507,Metabolic medicine
Biomedical and Clinical Sciences,Medical biochemistry and metabolomics,320599,Medical biochemistry and metabolomics not elsewhere classified
Biomedical and Clinical Sciences,Medical biotechnology,320601,Gene and molecular therapy
Biomedical and Clinical Sciences,Medical biotechnology,320602,Medical biotechnology diagnostics (incl. biosensors)
Biomedical and Clinical Sciences,Medical biotechnology,320603,Medical molecular engineering of nucleic acids and proteins
Biomedical and Clinical Sciences,Medical biotechnology,320604,Nanomedicine
Biomedical and Clinical Sciences,Medical biotechnology,320605,"Nanotoxicology, health and safety"
Biomedical and Clinical Sciences,Medical biotechnology,320606,Regenerative medicine (incl. stem cells)
Biomedical and Clinical Sciences,Medical biotechnology,320699,Medical biotechnology not elsewhere classified
Biomedical and Clinical Sciences,Medical microbiology,320701,Medical bacteriology
Biomedical and Clinical Sciences,Medical microbiology,320702,Medical infection agents (incl. prions)
Biomedical and Clinical Sciences,Medical microbiology,320703,Medical mycology
Biomedical and Clinical Sciences,Medical microbiology,320704,Medical parasitology
Biomedical and Clinical Sciences,Medical microbiology,320705,Medical virology
Biomedical and Clinical Sciences,Medical microbiology,320799,Medical microbiology not elsewhere classified
Biomedical and Clinical Sciences,Medical physiology,320801,Cell physiology
Biomedical and Clinical Sciences,Medical physiology,320802,Human biophysics
Biomedical and Clinical Sciences,Medical physiology,320803,Systems physiology
Biomedical and Clinical Sciences,Medical physiology,320899,Medical physiology not elsewhere classified
Biomedical and Clinical Sciences,Neurosciences,320901,Autonomic nervous system
Biomedical and Clinical Sciences,Neurosciences,320902,Cellular nervous system
Biomedical and Clinical Sciences,Neurosciences,320903,Central nervous system
Biomedical and Clinical Sciences,Neurosciences,320904,Computational neuroscience (incl. mathematical neuroscience and theoretical neuroscience)
Biomedical and Clinical Sciences,Neurosciences,320905,Neurology and neuromuscular diseases
Biomedical and Clinical Sciences,Neurosciences,320906,Peripheral nervous system
Biomedical and Clinical Sciences,Neurosciences,320907,Sensory systems
Biomedical and Clinical Sciences,Neurosciences,320999,Neurosciences not elsewhere classified
Biomedical and Clinical Sciences,Nutrition and dietetics,321001,Clinical nutrition
Biomedical and Clinical Sciences,Nutrition and dietetics,321002,Food properties (incl. characteristics and health benefits)
Biomedical and Clinical Sciences,Nutrition and dietetics,321003,Nutrigenomics and personalised nutrition
Biomedical and Clinical Sciences,Nutrition and dietetics,321004,Nutritional science
Biomedical and Clinical Sciences,Nutrition and dietetics,321005,Public health nutrition
Biomedical and Clinical Sciences,Nutrition and dietetics,321006,Sport and exercise nutrition
Biomedical and Clinical Sciences,Nutrition and dietetics,321099,Nutrition and dietetics not elsewhere classified
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321101,Cancer cell biology
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321102,Cancer diagnosis
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321103,Cancer genetics
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321104,Cancer therapy (excl. chemotherapy and radiation therapy)
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321105,Chemotherapy
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321106,Haematological tumours
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321107,Liquid biopsies
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321108,Molecular targets
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321109,Predictive and prognostic markers
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321110,Radiation therapy
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321111,Solid tumours
Biomedical and Clinical Sciences,Oncology and carcinogenesis,321199,Oncology and carcinogenesis not elsewhere classified
Biomedical and Clinical Sciences,Ophthalmology and optometry,321201,Ophthalmology
Biomedical and Clinical Sciences,Ophthalmology and optometry,321202,Optical technology
Biomedical and Clinical Sciences,Ophthalmology and optometry,321203,Optometry
Biomedical and Clinical Sciences,Ophthalmology and optometry,321204,Vision science
Biomedical and Clinical Sciences,Ophthalmology and optometry,321299,Ophthalmology and optometry not elsewhere classified
Biomedical and Clinical Sciences,Paediatrics,321301,Adolescent health
Biomedical and Clinical Sciences,Paediatrics,321302,Infant and child health
Biomedical and Clinical Sciences,Paediatrics,321303,Neonatology
Biomedical and Clinical Sciences,Paediatrics,321399,Paediatrics not elsewhere classified
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321401,Basic pharmacology
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321402,Clinical pharmacology and therapeutics
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321403,Clinical pharmacy and pharmacy practice
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321404,Pharmaceutical delivery technologies
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321405,Pharmaceutical sciences
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321406,Pharmacogenomics
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321407,Toxicology (incl. clinical toxicology)
Biomedical and Clinical Sciences,Pharmacology and pharmaceutical sciences,321499,Pharmacology and pharmaceutical sciences not elsewhere classified
Biomedical and Clinical Sciences,Reproductive medicine,321501,Foetal development and medicine
Biomedical and Clinical Sciences,Reproductive medicine,321502,Obstetrics and gynaecology
Biomedical and Clinical Sciences,Reproductive medicine,321503,Reproduction
Biomedical and Clinical Sciences,Reproductive medicine,321599,Reproductive medicine not elsewhere classified
Biomedical and Clinical Sciences,Other biomedical and clinical sciences,329999,Other biomedical and clinical sciences not elsewhere classified
Built Environment and Design,Architecture,330101,Architectural computing and visualisation methods
Built Environment and Design,Architecture,330102,Architectural design
Built Environment and Design,Architecture,330103,Architectural heritage and conservation
Built Environment and Design,Architecture,330104,"Architectural history, theory and criticism"
Built Environment and Design,Architecture,330105,Architectural science and technology
Built Environment and Design,Architecture,330106,Architecture for disaster relief
Built Environment and Design,Architecture,330107,Architecture management
Built Environment and Design,Architecture,330108,Interior design
Built Environment and Design,Architecture,330109,Landscape architecture
Built Environment and Design,Architecture,330110,Sustainable architecture
Built Environment and Design,Architecture,330199,Architecture not elsewhere classified
Built Environment and Design,Building,330201,Automation and technology in building and construction
Built Environment and Design,Building,330202,Building construction management and project planning
Built Environment and Design,Building,330203,Building industry studies
Built Environment and Design,Building,330204,Building information modelling and management
Built Environment and Design,Building,330205,Building organisational studies
Built Environment and Design,Building,330206,"Building science, technologies and systems"
Built Environment and Design,Building,330207,Quantity surveying
Built Environment and Design,Building,330299,Building not elsewhere classified
Built Environment and Design,Design,330301,Data visualisation and computational (incl. parametric and generative) design
Built Environment and Design,Design,330302,Design anthropology
Built Environment and Design,Design,330303,Design for disaster relief
Built Environment and Design,Design,330304,"Design history, theory and criticism"
Built Environment and Design,Design,330305,Design management
Built Environment and Design,Design,330306,Design practice and methods
Built Environment and Design,Design,330307,Ergonomics design
Built Environment and Design,Design,330308,Fire safety design
Built Environment and Design,Design,330309,Industrial and product design
Built Environment and Design,Design,330310,Interaction and experience design
Built Environment and Design,Design,330311,Models and simulations of design
Built Environment and Design,Design,330312,Service design
Built Environment and Design,Design,330313,Social design
Built Environment and Design,Design,330314,Sustainable design
Built Environment and Design,Design,330315,Textile and fashion design
Built Environment and Design,Design,330316,Visual communication design (incl. graphic design)
Built Environment and Design,Design,330399,Design not elsewhere classified
Built Environment and Design,Urban and regional planning,330401,Community planning
Built Environment and Design,Urban and regional planning,330402,History and theory of the built environment (excl. architecture)
Built Environment and Design,Urban and regional planning,330403,"Housing markets, development and management"
Built Environment and Design,Urban and regional planning,330404,Land use and environmental planning
Built Environment and Design,Urban and regional planning,330405,Public participation and community engagement
Built Environment and Design,Urban and regional planning,330406,Regional analysis and development
Built Environment and Design,Urban and regional planning,330407,Regulatory planning and development assessment
Built Environment and Design,Urban and regional planning,330408,"Strategic, metropolitan and regional planning"
Built Environment and Design,Urban and regional planning,330409,Transport planning
Built Environment and Design,Urban and regional planning,330410,Urban analysis and development
Built Environment and Design,Urban and regional planning,330411,Urban design
Built Environment and Design,Urban and regional planning,330412,Urban informatics
Built Environment and Design,Urban and regional planning,330413,Urban planning and health
Built Environment and Design,Urban and regional planning,330499,Urban and regional planning not elsewhere classified
Built Environment and Design,Other built environment and design,339999,Other built environment and design not elsewhere classified
Chemical Sciences,Analytical chemistry,340101,Analytical spectrometry
Chemical Sciences,Analytical chemistry,340102,Bioassays
Chemical Sciences,Analytical chemistry,340103,Electroanalytical chemistry
Chemical Sciences,Analytical chemistry,340104,Flow analysis
Chemical Sciences,Analytical chemistry,340105,Instrumental methods (excl. immunological and bioassay methods)
Chemical Sciences,Analytical chemistry,340106,Metabolomic chemistry
